Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
signature healthcare at jackson manor rehab & well,signature healthcare,8458,0,8458,2016,2016-11-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,ANNVILLE,96 HIGHWAY 3444,40402,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of seneca,life care centers of america,8904,0,8904,2016,2016-09-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,SENECA,512 COMMUNITY DRIVE,66538,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of fort wayne,signature healthcare,10431,0,10431,2016,2016-11-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Indiana,FORT WAYNE,6006 BRANDY CHASE COVE,46815,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"nhc healthcare, dickson",national healthcare corp.,10530,0,10530,2016,2016-07-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,DICKSON,812 CHARLOTTE ST,37055,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"nhc healthcare, town & country",national healthcare corp.,11050,0,11050,2016,2016-03-09,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,TOWN AND COUNTRY,13995 CLAYTON ROAD,63017,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center,life care centers of america,12188,0,12188,2016,2016-01-14,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,FITZGERALD,176 LINCOLN AVE,31750,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
kindred transitional care and rehab-columbus,kindred healthcare,13252,0,13252,2016,2016-08-16,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Indiana,COLUMBUS,2100 MIDWAY ST,47201,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of copper basin,life care centers of america,14430,0,14430,2016,2016-04-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,DUCKTOWN,166 COPPER BASIN INDUSTRIAL PARK PO BOX 518,37326,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - covington,pruitthealth,15367,0,15367,2016,2016-12-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,COVINGTON,4148 CARROLL STREET,30015,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of omaha,life care centers of america,19013,0,19013,2016,2016-06-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Nebraska,OMAHA,6032 VILLE DE SANTE DRIVE,68104,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"villages of jackson creek, the",national healthcare corp.,23659,0,23659,2016,2016-11-14,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,INDEPENDENCE,3980 SOUTH JACKSON DRIVE,64057,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of warren,signature healthcare,25545,0,25545,2016,2016-02-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Ohio,WARREN,2473 NORTH RD NE,44483,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - lanier,pruitthealth,28785,0,28785,2016,2016-09-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,BUFORD,2451 PEACHTREE INDUSTRIAL BLVD,30518,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of trimble county,signature healthcare,28795,0,28795,2016,2016-08-18,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,BEDFORD,50 SHEPHERD LANE,40006,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - decatur,pruitthealth,29229,0,29229,2016,2016-09-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,DECATUR,3200 PANTHERSVILLE ROAD,30034,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at st peter villa,signature healthcare,32869,0,32869,2016,2016-10-13,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,MEMPHIS,141 N MCLEAN,38104,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth-walterboro,pruitthealth,33500,0,33500,2016,2016-03-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,WALTERBORO,401 WITSELL STREET,29488,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of skagit valley,life care centers of america,36455,0,36455,2016,2016-11-07,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Washington,SEDRO WOOLLEY,1462 WEST STATE ROUTE 20,98284,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"nhc healthcare, town & country",national healthcare corp.,38322,0,38322,2016,2016-09-22,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,TOWN AND COUNTRY,13995 CLAYTON ROAD,63017,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth-durham,pruitthealth,46313,0,46313,2016,2016-04-01,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,DURHAM,3100 ERWIN ROAD,27705,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of georgetown,signature healthcare,47938,0,47938,2016,2016-06-02,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,GEORGETOWN,102 POCAHONTAS TRAIL,40324,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of mccreary county rehab & we,signature healthcare,52333,0,52333,2016,2016-04-12,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,PINE KNOT,58 CAL HILL ROAD,42635,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
ssm health st clare meadows care ctr,ssm health,52553,0,52553,2016,2016-03-30,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Wisconsin,BARABOO,1414 JEFFERSON ST,53913,,,USA,Missouri,non-profit,healthcare services,hospitals,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of rockwood rehab & wellness,signature healthcare,58302,0,58302,2016,2016-09-08,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,ROCKWOOD,5580 ROANE STATE HWY,37854,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - virginia park,pruitthealth,58588,0,58588,2016,2016-08-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,ATLANTA,1000 BRIARCLIFF ROAD NE,30306,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of old hickory village,life care centers of america,63700,0,63700,2016,2016-03-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,OLD HICKORY,1250 ROBINSON ROAD,37138,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - lilburn,pruitthealth,75353,0,75353,2016,2016-10-27,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LILBURN,788 INDIAN TRAIL ROAD,30047,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"nhc healthcare, joplin",national healthcare corp.,77365,0,77365,2016,2016-11-10,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,JOPLIN,"2700 EAST 34TH STREET,  PO BOX 2877",64803,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of ooltewah,life care centers of america,78250,0,78250,2016,2016-09-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,OOLTEWAH,5911 SNOW HILL ROAD,37363,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of brookwood gardens,signature healthcare,79181,0,79181,2016,2016-08-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Florida,HOMESTEAD,1990 S CANAL DRIVE,33035,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare of rockwood rehab & wellness,signature healthcare,94640,0,94640,2016,2016-05-25,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,ROCKWOOD,5580 ROANE STATE HWY,37854,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at rockford rehab & wellness,signature healthcare,101807,0,101807,2016,2016-12-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,LOUISVILLE,4700 QUINN DRIVE,40216,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
kindred transitional care and rehab - canyonwood,kindred healthcare,117534,0,117534,2016,2016-08-05,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,REDDING,2120 BENTON DRIVE,96003,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
kindred transitional care & rehabilitation-avery,kindred healthcare,118333,0,118333,2016,2016-01-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Massachusetts,NEEDHAM,100 WEST STREET,02194,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care center of andover,life care centers of america,130000,0,130000,2016,2016-09-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kansas,ANDOVER,"621 W 21ST,  PO BOX 100",67002,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth-orangeburg,pruitthealth,136495,0,136495,2016,2016-11-29,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,South Carolina,ORANGEBURG,755 WHITMAN STREET SE,29115,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - macon,pruitthealth,142703,0,142703,2016,2016-11-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,MACON,2255 ANTHONY ROAD,31204,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
"lakewood healthcare, inc",ensign group,218054,0,218054,2016,2016-02-10,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Arkansas,HOT SPRINGS,260 LAKEPARK DRIVE,71901,,,USA,California,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
pruitthealth - shepherd hills,pruitthealth,325098,0,325098,2016,2016-03-21,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LA FAYETTE,800 PATTERSON RD,30728,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
life care ctr of lawrenceville,life care centers of america,422611,0,422611,2016,2016-11-04,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Georgia,LAWRENCEVILLE,210 COLLINS INDUSTRIAL WAY,30045,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
signature healthcare at north hardin rehab & welln,signature healthcare,523868,0,523868,2016,2016-02-25,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Kentucky,RADCLIFF,599 ROGERSVILLE RD.,40160,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2016-01-01
rush university medical center,rush university medical center,19258,0,19258,2016,2016-02-16,wage and hour violation,other pay violation,Illinois Wage Payment and Collection Act,state,agency action,Illinois Department of Labor,,civil,,16-000527,,,Illinois,,,,,,USA,Illinois,non-profit,healthcare services,healthcare services,"Contained in data obtained on April 18, 2017 in response to an Illinois Freedom of Information Act request. ",,,,,,2016-01-01
amedisys,amedisys,766000,0,766000,2016,2016-11-10,wage and hour violation,overtime violation,,federal,private litigation,,Northern District of Illinois,civil,,12-cv-7346,"Piekarski v. Amedisys Illinois, LLC et al",settlement,,,,,,,USA,Louisiana,publicly traded,healthcare services,home health services,https://www.sec.gov/Archives/edgar/data/896262/000119312516759843/d280632d10q.htm#toc280632_9,,https://ecf.ilnd.uscourts.gov/cgi-bin/DktRpt.pl?274098,https://violationtracker.goodjobsfirst.org/archive/FLSA751.pdf,,,2016-01-01
centene,centene,4500000,0,4500000,2016,2016-10-17,wage and hour violation,overtime violation,,federal,private litigation,,Western District of Washington,civil,,14-cv-05730,"Randolph v. Centene Management Company, LLC",settlement,,,,,,,USA,Missouri,publicly traded,healthcare services,managed care,https://www.law360.com/articles/810855/centene-inks-4-5m-deal-in-nurse-ot-row,,https://ecf.wawd.uscourts.gov/cgi-bin/DktRpt.pl?204085,https://violationtracker.goodjobsfirst.org/archive/FLSA206.pdf,,,2016-01-01
kindred healthcare,kindred healthcare,2465000,0,2465000,2016,2016-10-07,wage and hour violation,minimum wage violation,,state,private litigation,,"Superior Court of State of California, County of Alameda",civil,,RG14729507,"Rogers vs Kindred Healthcare, Inc.",settlement,California,,,,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,http://feinbergjackson.com/our-work/settlements/,,,https://violationtracker.goodjobsfirst.org/archive/FLSA994.pdf,,,2016-01-01
children's hospital los angeles,children's hospital los angeles,27000000,0,27000000,2016,2016-09-19,wage and hour violation,overtime violation,,state,private litigation,,"Superior Court of State of California, County of Los Angeles",civil,,BC477830,Denise Mays v. Childrens Hospital Los Angeles,settlement,California,,,,,,USA,California,non-profit,healthcare services,hospitals,https://www.law360.com/articles/841693/children-s-hospital-la-gets-approval-for-27m-ot-settlement,,,https://violationtracker.goodjobsfirst.org/archive/FLSA767.pdf,,,2016-01-01
advocate health care,advocate health care,4750000,0,4750000,2016,2016-06-29,wage and hour violation,overtime violation,,federal,private litigation,,Northern District of Illinois,civil,,14-cv2740,"Lukas v. Advocate Health Care Network And Subsidiaries, an Illinois Non-Profit Corporation et al",settlement,,,,,,,USA,Illinois,non-profit,healthcare services,hospitals,https://www.law360.com/articles/812394,,https://ecf.ilnd.uscourts.gov/cgi-bin/DktRpt.pl?294975,https://violationtracker.goodjobsfirst.org/archive/FLSA843.pdf,,,2016-01-01
amerigroup new york,anthem,1650000,0,1650000,2016,2016-05-12,wage and hour violation,overtime violation,,federal,private litigation,,Eastern District of New York,civil,,14-cv-3891,"Bijoux et al v. Amerigroup New York, LLC",settlement,,,,,,,USA,Indiana,publicly traded,healthcare services,insurance; managed care,,,https://ecf.nyed.uscourts.gov/cgi-bin/DktRpt.pl?357943,https://violationtracker.goodjobsfirst.org/archive/FLSA394.pdf,,,2016-01-01
sutter health,sutter health,1507000,0,1507000,2016,2016-02-19,wage and hour violation,off-the-clock work,,federal,private litigation,,Northern District of California,civil,,13-cv-3249,Minns v. Advanced Clinical Employment Staffing Llc,settlement,,,,,,,USA,California,non-profit,healthcare services,hospitals,https://www.law360.com/articles/744252/hospital-staffing-cos-settle-nurses-wage-action-for-1-6m,,https://ecf.cand.uscourts.gov/cgi-bin/DktRpt.pl?268163,https://violationtracker.goodjobsfirst.org/archive/FLSA937.pdf,,"Sutter East Bay Hospitals agreed to pay just over $1.5 million of the $1.6 milllion settlement, with staff companies paying the rest.",2016-01-01
amedisys,amedisys,8000000,0,8000000,2016,2016-01-26,wage and hour violation,overtime violation,,federal,private litigation,,District of Connecticut,civil,,12-cv-1082,"Cook et al v. Amedisys, Inc.",settlement,,,,,,,USA,Louisiana,publicly traded,healthcare services,home health services,https://www.law360.com/articles/704900/amedisys-inks-8m-deal-to-exit-ot-class-action,,https://ecf.ctd.uscourts.gov/cgi-bin/DktRpt.pl?97865,https://violationtracker.goodjobsfirst.org/archive/FLSA750.pdf,,,2016-01-01
