"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Court","Civil/Criminal","Prosecution Agreement","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent","Info Source","Info Source Archive URL","PACER Link","Captured Document","EPA/OSHA More Info Link","Notes"
"Brookdale Senior Living Communities, Inc.","Brookdale Senior Living","$112,500","$0","$112,500","2015","20150817","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","","civil","","","","","Colorado","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.eeoc.gov/eeoc/newsroom/release/8-17-15.cfm","screenshot_212108.png","","","","Description field shows type of discrimination that EEOC had alleged."
"BROOKDALE SENIOR LIVING COMMUNITIES, INC. D/B/A STERLING HOUSE OF NIAGARA","Brookdale Senior Living","$18,794","$0","$18,794","2017","20170127","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","03-CA-173607","","","New York","North Tonawanda","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","","","","",""
"Brookdale Senior Living, Inc. d/b/a Emeritus Senior Living","Brookdale Senior Living","$57,968","$0","$57,968","2015","20151113","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","28-CA-134729","","","Arizona","Phoenix","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","","","","",""
"NAZARETH HOSPITAL","Trinity Health","$13,000","$0","$13,000","2011","20111201","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315817841","","","Pennsylvania","PHILADELPHIA","2601 HOLME AVENUE","19152","622110","622110: General Medical and Surgical Hospitals","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315817841",""
"Cambridge Home Health Care, Inc.","Almost Family Inc.","$10,130","$0","$10,130","2011","20110926","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1610207","","","Ohio","Marietta","","45750","62412","62412: Services for the Elderly and Persons with Disabilities","USA","Kentucky","publicly traded","healthcare services","home health services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Canterbury Place/UPMC","UPMC","$6,500","$0","$6,500","2004","20040809","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","06-CA-32667-001","","","Pennsylvania","Pittsburgh","","15201","623110","623110: Nursing Care Facilities","USA","Pennsylvania","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"KINDRED HOPSITAL AT HERITAGE VALLEY","Kindred Healthcare","$12,000","$0","$12,000","2011","20110517","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315559252","","","Pennsylvania","BEAVER","1000 DUTCH RIDGE ROAD  2NDFL TOWER A","15009","622110","622110: General Medical and Surgical Hospitals","USA","Kentucky","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315559252",""
"Carolinas Healthcare System","Carolinas Healthcare System","$10,000","$0","$10,000","2012","20120828","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1661296","","","North Carolina","Charlotte","","28203","9660","","USA","North Carolina","non-profit","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Carolinas Medical Center","Carolinas Healthcare System","$50,000","$0","$50,000","2013","20131204","HHS civil monetary penalties","","Carolinas Medical Center agreed to pay $50,000 to resolve its liability for Civil Monetary Penalties under the patient dumping statute. ","federal","agency action","Health & Human Services Department Office of Inspector General","","civil","","","","","North Carolina","","","","","","USA","North Carolina","non-profit","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp","screenshot_194053.png","","","",""
"Catholic Health East","Trinity Health","$11,000,000","$0","$11,000,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Michigan","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Catholic Health Initiatives","Catholic Health Initiatives","$7,800,000","$0","$7,800,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Colorado","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Catholic Healthcare West","Dignity Health","$10,750,000","$0","$10,750,000","2001","20010809","False Claims Act","","Catholic Healthcare West agreed to pay the United States $10,750,000 to settle claims that four of its hospitals improperly charged federal health care programs for surgical procedures using unapproved experimental cardiac devices.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","California","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2001/August/391civ.htm","","","","",""
"Catholic Healthcare West","Dignity Health","$35,000","$0","$35,000","2005","20050914","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","31-CA-26415-001","","","California","Oxnard","","93030","622110","622110: General Medical and Surgical Hospitals","USA","California","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Catholic Healthcare West, Southern California, dba St. Vincent Medical Center","Verity Health","$1,032,000","$0","$1,032,000","2011","20110519","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","31-CA-24325-001","","","California","Los Angeles","","90057","622110","622110: General Medical and Surgical Hospitals","USA","California","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"BROOKDALE SENIOR LIVING, INC.","Brookdale Senior Living","$23,700","$0","$23,700","2015","20150120","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","340192541","","","Texas","SAN ANTONIO","9505 FREDERICKSBURG RD.","78240","623312","623312: Homes for the Elderly","USA","Tennessee","publicly traded","healthcare services","healthcare services","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1019254.015",""
"CASTLE MEDICAL CENTER","Adventist Health (West)","$10,734","$0","$10,734","2015","20150112","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","340180207","","","Hawaii","KAILUA","640 ULUKAHIKI ST.","96734","622110","622110: General Medical and Surgical Hospitals","USA","California","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1018020.015",""
"Centene Corporation","Centene","$100,000","$0","$100,000","2013","20130403","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Centene-Corporation-CMP_4_3_2013.pdf","194315.pdf","","","",""
"Centene Corporation","Centene","$31,950","$0","$31,950","2017","20170112","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Centene_Corporation_CMP_1-12-17.pdf","","","","",""
"Centene Corporation","Centene","$25,710","$0","$25,710","2013","20131024","Medicare Parts C and D Enforcement Action","","Required Beneficiary Notices","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","managed care","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/Centene-Corporation-CMP-10_-24_13.pdf","194312.pdf","","","",""
"Charles River Laboratories International Inc.","Charles River Laboratories","$1,800,000","$0","$1,800,000","2017","20170313","False Claims Act","","Charles River Laboratories International Inc. agreed to pay the U.S. government $1.8 million to settle claims that it violated the False Claims Act by improperly charging for labor and other associated costs that were not actually provided on certain National Institutes of Health contracts. ","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Massachusetts","publicly traded","healthcare services","pharmaceutical services","https://www.justice.gov/opa/pr/charles-river-laboratories-international-inc-agrees-pay-united-states-18-million-settle-false","","","","",""
"SUTTER EAST BAY HOSPITALS DBA ABSMC","Sutter Health","$71,275","$0","$71,275","2012","20121127","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315320242","","","California","OAKLAND","350 HAWTHORNE AVE","94609","622110","622110: General Medical and Surgical Hospitals","USA","California","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315320242",""
"CHRISTUS Health","CHRISTUS Health","$4,500,000","$0","$4,500,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
"Christus Health","CHRISTUS Health","$1,360,000","$0","$1,360,000","2003","20030507","False Claims Act","","Three San Antonio, Texas affiliates of Christus Health of Houston paid the United States $1.36 million to settle claims that they defrauded Medicare and Medicaid from 1997 through 2000. ","federal","agency action","Justice Department Civil Division","","civil","","","","","Texas","San Antonio","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2003/May/03_civ_274.htm","","","","",""
"CHRISTUS Health Gulf Coast","CHRISTUS Health","$220,000","$0","$220,000","2002","20020906","False Claims Act","","CHRISTUS Health Gulf Coast, owner and operator of CHRISTUS St. Joseph Hospital, of Houston, Texas, agreed to pay $220,000 to settle claims that the hospital defrauded the Medicare Program from April 1997 to June 2000.","federal","agency action","Justice Department Civil Division","","civil","","","","","Texas","","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2002/September/02_crt_514.htm","","","","",""
"CHRISTUS Health Plan","CHRISTUS Health","$7,080","$0","$7,080","2017","20170621","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","","civil","","","","","","","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/CHRISTUS_CMP_6-21-17.pdf","","","","",""
"Christus Hospital (St.Elizabeth & St. Mary)","CHRISTUS Health","$12,359","$0","$12,359","2011","20111230","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","","civil","","","","","Texas","Beaumont","","","","","USA","Texas","non-profit","healthcare services","hospitals","https://www.dol.gov/ofccp/foia/files/Christu_Hospital_Redacted.pdf","212381.pdf","","","",""
"Christus Spohn Hospital","CHRISTUS Health","$14,545","$0","$14,545","2006","20060102","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1421121","","","Texas","Beeville","","78102","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CHRISTUS Spohn Hospital Corpus Christi - Shoreline","CHRISTUS Health","$26,789","$0","$26,789","2010","20100428","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","","civil","","16-CA-26929-001","","","Texas","Corpus Christi","","78404","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml","","","","",""
"Cigna - Columbus Claim","Cigna","$566,688","$0","$566,688","2004","20040131","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1342988","","","Connecticut","Bloomfield","","06002","524114","524114: Direct Health and Medical Insurance Carriers","USA","Connecticut","publicly traded","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BAPTIST MEMORIAL HOSPITAL-UNION CITY","Baptist Memorial Health Care","$5,400","$0","$5,400","2011","20110113","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315274928","","","Tennessee","UNION CITY","1201 BISHOP STREET","38261","622110","622110: General Medical and Surgical Hospitals","USA","Tennessee","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315274928",""
"SUNRISE SENIOR LIVING INC DBA SUNRISE SENIOR LIVIN","Revera","$7,795","$0","$7,795","2012","20120120","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315271718","","","California","WALNUT CREEK","2175 YGNACIO VALLEY RD","94598","623311","623311: Continuing Care Retirement Communities","Canada","","privately held","healthcare services","assisted living facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315271718",""
"CJ SYSTEMS AVIATION GROUP INC","Air Methods Corp.","$32,000","$0","$32,000","2008","20080403","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","","civil","","2006EA030050 ","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"CJ SYSTEMS AVIATION GROUP INC","Air Methods Corp.","$11,000","$0","$11,000","2008","20080403","aviation safety violation","","FLT OPNS ","federal","agency action","Federal Aviation Administration","","civil","","2006EA030051 ","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"CJ SYSTEMS AVIATION GROUP INC","Air Methods Corp.","$10,000","$0","$10,000","2011","20110715","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","","civil","","","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","10051.pdf","","","",""
"CJ SYSTEMS AVIATION GROUP INC","Air Methods Corp.","$10,000","$0","$10,000","2008","20080327","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","","civil","","2005SO950189 ","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"CJ SYSTEMS AVIATION GROUP INC","Air Methods Corp.","$7,500","$0","$7,500","2008","20080403","aviation safety violation","","FLT OPNS ","federal","agency action","Federal Aviation Administration","","civil","","2006EA030034 ","","","","","","","","","USA","Colorado","privately held","healthcare services","air medical emergency transport","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/","","","","",""
"LABORATORY CORPORATION OF AMERICA","Laboratory Corp. of America","$6,500","$0","$6,500","2011","20110204","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315236117","","","New Jersey","JERSEY CITY","600 PAVONIA AVE","07306","621511","621511: Medical Laboratories","USA","North Carolina","publicly traded","healthcare services","healthcare services","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315236117",""
"CLARKSVILLE SURGERY CENTER","Tenet Healthcare","$5,400","$0","$5,400","2010","20101117","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315202424","","","Tennessee","CLARKSVILLE","793 WEATHERLY DRIVE","37043","622110","622110: General Medical and Surgical Hospitals","USA","Texas","publicly traded","healthcare services","healthcare services","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315202424",""
"Clinton Hospital Corporation","Quorum Health","$14,308","$0","$14,308","2009","20091205","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1563062","","","Pennsylvania","Lock Haven","","17745","9660","","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CITRUS MEMORIAL HEALTH SYSTEM","HCA Holdings","$8,325","$0","$8,325","2010","20101119","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315182972","","","Florida","INVERNESS","502 W. HIGHLAND BLVD.","34452","622110","622110: General Medical and Surgical Hospitals","USA","Tennessee","publicly traded","healthcare services","healthcare services","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315182972",""
"KINDRED HOSPITAL","Kindred Healthcare","$9,000","$0","$9,000","2011","20110202","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","315174920","","","New Jersey","DOVER","400 WEST BLACKWELL STREET","07801","622110","622110: General Medical and Surgical Hospitals","USA","Kentucky","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=315174920",""
"GLENDALE HEALTHCARE ASSOCIATES LLC","Ensign Group","$5,250","$0","$5,250","2014","20141216","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","340141530","","","Arizona","GLENDALE","5125 N. 58TH AVE","85301","623110","623110: Nursing Care Facilities","USA","California","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=1014153.015",""
"Columbia/HCA Healthcare Corporation","HCA Holdings","$24,065","$0","$24,065","2013","20131205","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1766270","","","Texas","San Antonio","","78229","622110","622110: General Medical and Surgical Hospitals","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Columbus Regional Healthcare System","Columbus Regional Health","$35,000,000","$0","$35,000,000","2015","20150904","False Claims Act","","Columbus Regional Healthcare System and Dr. Andrew Pippas have agreed to pay more than $25 million to resolve allegations that they violated the False Claims Act by submitting claims in violation of the Stark Law.  The settlement also resolved allegations that Columbus Regional and Pippas submitted claims for payment to federal health care programs that misrepresented the level of services they provided.  Under the settlement agreement, Columbus Regional agreed to pay $25 million, plus additional contingent payments not to exceed $10 million, for a maximum settlement amount of $35 million, and Pippas has agreed to pay $425,000.","federal","agency action","Justice Department Civil Division","","civil","","","","","Georgia","","","","","","USA","Georgia","non-profit","healthcare services","hospitals","https://www.justice.gov/opa/pr/georgia-hospital-system-and-physician-pay-more-25-million-settle-alleged-false-claims-act-and","screenshot_193703.png","","","",""
"Community Health Systems Professional Services Corporation","Community Health Systems","$75,000,000","$0","$75,000,000","2015","20150202","False Claims Act","","Community Health Systems Professional Services Corporation and three affiliated New Mexico hospitals agreed to pay the United States $75 million to settle allegations that they violated the False Claims Act by making illegal donations to county governments which were used to fund the state share of Medicaid payments to the hospitals.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.justice.gov/opa/pr/community-health-systems-professional-services-corporation-and-three-affiliated-new-mexico","screenshot_193748.png","","","",""
"Community Health Systems","Community Health Systems","$31,000,000","$0","$31,000,000","2000","20000509","False Claims Act","","Community Health Systems agreed to pay $31 million to resolve allegations that it submitted false claims for reimbursement to Medicare, Medicaid, and TRICARE, the Defense Department's health care program. ","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2000/May/096civ.htm","","","","",""
"Community Health Systems","Community Health Systems","$210,000","$0","$210,000","2015","20150507","False Claims Act","","The Justice Department announced that 16 separate hospitals and their respective corporate parents agreed to collectively pay $15.69 million to resolve False Claims Act allegations that the providers sought and received reimbursement from Medicare for mental health services that were not medically reasonable or necessary.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.justice.gov/opa/pr/sixteen-hospitals-pay-1569-million-resolve-false-claims-act-allegations-involving-medically","screenshot_193726.png","","","",""
"Community Health Systems","Community Health Systems","$23,419","$0","$23,419","2003","20031025","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1312645","","","Alabama","Eufaula","","36027","62211","62211: General Medical and Surgical Hospitals","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Community Health Systems","Community Health Systems","$5,902","$0","$5,902","2008","20081018","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1524301","","","Oklahoma","Tulsa","","74133","622110","622110: General Medical and Surgical Hospitals","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Community Health Systems Inc.","Community Health Systems","$98,150,000","$0","$98,150,000","2014","20140804","False Claims Act","","Community Health Systems Inc. agreed to pay $98.15 million to resolve multiple lawsuits alleging that the company knowingly billed government health care programs for inpatient services that should have been billed as outpatient or observation services. The settlement also resolved allegations that one of the company's affiliated hospitals, Laredo Medical Center, improperly billed the Medicare program for certain inpatient procedures and for services rendered to patients referred in violation of the Physician Self-Referral Law, commonly known as the Stark Law. ","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.justice.gov/opa/pr/community-health-systems-inc-pay-9815-million-resolve-false-claims-act-allegations","screenshot_193773.png","","","",""
"Community Health Systems, Inc.","Community Health Systems","$13,000,000","$0","$13,000,000","2015","20151030","False Claims Act","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","","civil","","","","","","","","","","","USA","Tennessee","publicly traded","healthcare services","healthcare services","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations","screenshot_193631.png","","","",""
